Date,Team,Win,GF,game_lat,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
Sept. 25@@24374,:it: ITA 🏡,45.2,1.4,42.97874,:be: BEL,24.2,0.9,30.7,0-0,6,UEFA Nations League A
Sept. 25@@24374,:me: MNE 🏡,59.6,2.0,42.55761,:cy: CYP,16.1,0.9,24.3,1-0,6,UEFA Nations League C
Sept. 25@@24374,:ge: GEO 🏡,49.1,1.4,41.93037,:gb-nir: NIR,20.2,0.8,30.7,0-0,6,UEFA Nations League B
Sept. 25@@24374,:tr: TUR 🏡,20.4,1.0,39.29454,:fr: FRA,52.7,1.7,26.9,0-1,6,UEFA Nations League A
Sept. 26@@24375,:bg: BUL 🏡,45.9,1.4,42.7289,:lu: LUX,24.5,1.0,29.5,0-0,6,UEFA Nations League C
Sept. 26@@24375,:mk: MKD 🏡,10.9,0.7,41.73948,:ch: SUI,67.5,2.2,21.6,0-1,6,UEFA Nations League B
Sept. 26@@24375,:sm: SMR 🏡,1.0,0.2,43.94609,:fi: FIN,91.5,3.7,7.5,0-2,6,UEFA Nations League C
Sept. 26@@24375,:al: ALB 🏡,60.5,1.7,41.20574,:by: BLR,12.7,0.6,26.8,1-0,6,UEFA Nations League C
Sept. 26@@24375,:cz: CZE 🏡,27.4,1.1,49.83317,:hr: CRO,43.0,1.4,29.6,0-0,6,UEFA Nations League A
Sept. 26@@24375,:fo: FRO 🏡,35.0,1.1,62.04065,:kz: KAZ,32.9,1.1,32.1,0-0,6,UEFA Nations League C
Sept. 26@@24375,:gb-eng: ENG 🏡,34.4,1.2,52.5,:es: ESP,34.5,1.2,31.0,0-0,6,UEFA Nations League A
Sept. 26@@24375,:is: ISL 🏡,74.0,2.4,64.33116,:ee: EST,7.3,0.6,18.8,1-0,6,UEFA Nations League C
Sept. 26@@24375,:sk: SVK 🏡,83.1,2.8,48.66519,:md: MDA,3.3,0.4,13.5,2-0,6,UEFA Nations League C
Sept. 26@@24375,:si: SVN 🏡,32.7,1.1,46.15565,:gb-sct: SCO,35.4,1.1,31.9,0-0,6,UEFA Nations League B
Sept. 27@@24376,:il: ISR 🏡,31.4,1.1,32.13433,:ie: IRL,38.4,1.3,30.2,0-0,6,UEFA Nations League B
Sept. 27@@24376,:lt: LTU 🏡,40.1,1.1,55.17509,:az: AZE,26.5,0.9,33.4,0-0,6,UEFA Nations League D
Sept. 27@@24376,:dk: DEN 🏡,60.6,1.8,55.85131,:gb-wls: WAL,14.1,0.8,25.3,1-0,6,UEFA Nations League A
Sept. 27@@24376,:at: AUT 🏡,63.0,2.0,47.7831,:xk: KOS,13.7,0.8,23.4,1-0,6,UEFA Nations League B
Sept. 27@@24376,:de: GER 🏡,70.5,2.4,50.81935,:gr: GRE,9.9,0.8,19.6,1-0,6,UEFA Nations League A
Sept. 27@@24376,:rs: SRB 🏡,18.9,0.9,44.44791,:nl: NED,55.0,1.8,26.0,0-1,6,UEFA Nations League A
Sept. 27@@24376,:gi: GIB 🏡,24.2,0.7,36.1412,:ad: AND,36.5,0.9,39.3,0-0,6,UEFA Nations League D
Sept. 27@@24376,:no: NOR 🏡,37.0,1.3,60.99203,:pt: POR,33.9,1.3,29.1,0-0,6,UEFA Nations League A
Sept. 28@@24377,:be: BEL 🏡,21.8,1.0,50.84524,:fr: FRA,50.5,1.6,27.6,0-1,6,UEFA Nations League A
Sept. 28@@24377,:am: ARM 🏡,40.5,1.5,40.27288,:me: MNE,31.4,1.3,28.1,0-0,6,UEFA Nations League C
Sept. 28@@24377,:ge: GEO 🏡,33.7,1.2,41.93037,:ua: UKR,35.1,1.2,31.1,0-0,6,UEFA Nations League B
Sept. 28@@24377,:ro: ROU 🏡,44.2,1.4,45.05045,:ba: BIH,26.0,1.0,29.8,0-0,6,UEFA Nations League B
Sept. 28@@24377,:lv: LVA 🏡,42.0,1.4,56.83152,:cy: CYP,27.9,1.1,30.1,0-0,6,UEFA Nations League C
Sept. 28@@24377,:se: SWE 🏡,46.8,1.6,58.80855,:pl: POL,25.5,1.1,27.6,1-0,6,UEFA Nations League B
Sept. 28@@24377,:gb-nir: NIR 🏡,30.5,1.1,54.58,:hu: HUN,38.1,1.2,31.5,0-0,6,UEFA Nations League B
Sept. 28@@24377,:tr: TUR 🏡,39.2,1.2,39.29454,:it: ITA,29.5,1.0,31.3,0-0,6,UEFA Nations League A
Sept. 29@@24378,:es: ESP 🏡,78.7,2.6,39.58596,:hr: CRO,5.2,0.5,16.1,1-0,6,UEFA Nations League A
Sept. 29@@24378,:lu: LUX 🏡,24.8,1.1,49.64531,:is: ISL,47.8,1.6,27.5,0-1,6,UEFA Nations League C
Sept. 29@@24378,:fi: FIN 🏡,47.8,1.5,61.69732,:by: BLR,23.0,0.9,29.2,1-0,6,UEFA Nations League C
Sept. 29@@24378,:md: MDA 🏡,30.0,1.0,47.16079,:fo: FRO,36.9,1.1,33.1,0-0,6,UEFA Nations League C
Sept. 29@@24378,:sm: SMR 🏡,0.6,0.2,43.94609,:al: ALB,93.4,4.0,6.1,0-3,6,UEFA Nations League C
Sept. 29@@24378,:bg: BUL 🏡,60.3,1.7,42.7289,:ee: EST,13.3,0.7,26.4,1-0,6,UEFA Nations League C
Sept. 29@@24378,:sk: SVK 🏡,70.8,2.2,48.66519,:kz: KAZ,8.7,0.6,20.5,1-0,6,UEFA Nations League C
Sept. 29@@24378,:si: SVN 🏡,59.6,1.8,46.15565,:mk: MKD,14.9,0.8,25.5,1-0,6,UEFA Nations League B
Sept. 29@@24378,:gb-sct: SCO 🏡,31.7,1.1,55.88,:ch: SUI,37.8,1.3,30.6,0-0,6,UEFA Nations League B
Sept. 29@@24378,:cz: CZE 🏡,9.8,0.6,49.83317,:gb-eng: ENG,68.1,2.1,22.1,0-1,6,UEFA Nations League A
Oct. 1@@24380,:gr: GRE 🏡,18.9,0.9,38.6902,:nl: NED,53.7,1.7,27.4,0-1,6,UEFA Nations League A
Oct. 1@@24380,:gb-wls: WAL 🏡,15.1,0.8,51.75,:no: NOR,59.9,1.9,25.0,0-1,6,UEFA Nations League A
Oct. 1@@24380,:mt: MLT 🏡,79.2,2.5,35.89949,:gi: GIB,4.3,0.4,16.5,1-0,6,UEFA Nations League D
Oct. 1@@24380,:ie: IRL 🏡,31.5,1.1,53.13107,:at: AUT,37.0,1.2,31.5,0-0,6,UEFA Nations League B
Oct. 1@@24380,:il: ISR 🏡,36.1,1.4,32.13433,:xk: KOS,35.9,1.4,28.0,0-0,6,UEFA Nations League B
Oct. 1@@24380,:az: AZE 🏡,85.5,2.9,40.27694,:li: LIE,2.2,0.3,12.2,2-0,6,UEFA Nations League D
Oct. 1@@24380,:dk: DEN 🏡,28.1,1.1,55.85131,:pt: POR,42.5,1.4,29.4,0-0,6,UEFA Nations League A
Oct. 1@@24380,:de: GER 🏡,74.3,2.6,50.81935,:rs: SRB,8.4,0.8,17.4,1-0,6,UEFA Nations League A
Oct. 2@@24381,:lv: LVA 🏡,29.1,1.1,56.83152,:me: MNE,40.2,1.3,30.7,0-0,6,UEFA Nations League C
Oct. 2@@24381,:kz: KAZ 🏡,67.2,2.1,46.69895,:md: MDA,10.4,0.7,22.3,1-0,6,UEFA Nations League C
Oct. 2@@24381,:ua: UKR 🏡,55.8,1.5,48.80696,:gb-nir: NIR,14.4,0.6,29.8,1-0,6,UEFA Nations League B
Oct. 2@@24381,:hu: HUN 🏡,57.1,1.9,47.31799,:ge: GEO,17.9,1.0,25.0,1-0,6,UEFA Nations League B
Oct. 2@@24381,:fo: FRO 🏡,12.9,0.6,62.04065,:sk: SVK,60.5,1.7,26.6,0-1,6,UEFA Nations League C
Oct. 2@@24381,:ba: BIH 🏡,28.7,1.2,44.33118,:se: SWE,43.0,1.5,28.3,0-0,6,UEFA Nations League B
Oct. 2@@24381,:be: BEL 🏡,44.8,1.6,50.84524,:tr: TUR,27.9,1.2,27.3,1-0,6,UEFA Nations League A
Oct. 2@@24381,:pl: POL 🏡,54.2,1.7,51.72587,:ro: ROU,18.5,0.9,27.3,1-0,6,UEFA Nations League B
Oct. 2@@24381,:cy: CYP 🏡,40.2,1.5,35.00393,:am: ARM,31.9,1.3,27.9,0-0,6,UEFA Nations League C
Oct. 2@@24381,:fr: FRA 🏡,59.9,1.6,47.04737,:it: ITA,12.7,0.6,27.4,1-0,6,UEFA Nations League A
Oct. 3@@24382,:es: ESP 🏡,88.9,3.5,39.58596,:cz: CZE,1.8,0.3,9.3,2-0,6,UEFA Nations League A
Oct. 3@@24382,:hr: CRO 🏡,19.4,0.8,45.21638,:gb-eng: ENG,51.7,1.5,29.0,0-1,6,UEFA Nations League A
Oct. 3@@24382,:ee: EST 🏡,27.4,1.0,59.0178,:lu: LUX,41.1,1.3,31.5,0-0,6,UEFA Nations League C
Oct. 3@@24382,:fi: FIN 🏡,30.4,1.0,61.69732,:al: ALB,37.1,1.1,32.5,0-0,6,UEFA Nations League C
Oct. 3@@24382,:by: BLR 🏡,94.1,4.3,53.53761,:sm: SMR,0.5,0.2,5.4,3-0,6,UEFA Nations League C
Oct. 3@@24382,:ch: SUI 🏡,66.8,2.0,47.01849,:si: SVN,10.5,0.7,22.7,1-0,6,UEFA Nations League B
Oct. 3@@24382,:is: ISL 🏡,63.3,2.0,64.33116,:bg: BUL,13.5,0.8,23.2,1-0,6,UEFA Nations League C
Oct. 3@@24382,:mk: MKD 🏡,19.8,0.9,41.73948,:gb-sct: SCO,52.5,1.6,27.7,0-1,6,UEFA Nations League B
Oct. 4@@24383,:az: AZE 🏡,44.6,1.2,40.27694,:lt: LTU,22.8,0.8,32.6,0-0,6,UEFA Nations League D
Oct. 4@@24383,:gr: GRE 🏡,14.7,0.9,38.6902,:de: GER,62.4,2.1,22.9,0-1,6,UEFA Nations League A
Oct. 4@@24383,:pt: POR 🏡,51.0,1.7,39.65553,:no: NOR,21.9,1.0,27.2,1-0,6,UEFA Nations League A
Oct. 4@@24383,:gb-wls: WAL 🏡,23.9,1.0,51.75,:dk: DEN,46.6,1.5,29.4,0-0,6,UEFA Nations League A
Oct. 4@@24383,:mt: MLT 🏡,58.6,1.5,35.89949,:ad: AND,11.6,0.5,29.8,1-0,6,UEFA Nations League D
Oct. 4@@24383,:nl: NED 🏡,73.9,2.4,52.09536,:rs: SRB,7.7,0.6,18.4,1-0,6,UEFA Nations League A
Oct. 4@@24383,:ie: IRL 🏡,53.9,1.7,53.13107,:il: ISR,18.8,0.9,27.3,1-0,6,UEFA Nations League B
Oct. 4@@24383,:xk: KOS 🏡,30.3,1.2,42.57,:at: AUT,40.9,1.4,28.8,0-0,6,UEFA Nations League B
Oct. 5@@24384,:cy: CYP 🏡,42.5,1.4,35.00393,:lv: LVA,27.5,1.1,30.0,0-0,6,UEFA Nations League C
Oct. 5@@24384,:ro: ROU 🏡,30.2,1.1,45.05045,:se: SWE,39.7,1.3,30.0,0-0,6,UEFA Nations League B
Oct. 5@@24384,:ua: UKR 🏡,45.2,1.5,48.80696,:hu: HUN,25.8,1.1,29.0,0-0,6,UEFA Nations League B
Oct. 5@@24384,:fr: FRA 🏡,65.6,2.1,47.04737,:be: BEL,11.8,0.7,22.6,1-0,6,UEFA Nations League A
Oct. 5@@24384,:me: MNE 🏡,51.8,1.8,42.55761,:am: ARM,21.9,1.1,26.4,1-0,6,UEFA Nations League C
Oct. 5@@24384,:gb-nir: NIR 🏡,42.1,1.2,54.58,:ge: GEO,25.7,0.9,32.3,0-0,6,UEFA Nations League B
Oct. 5@@24384,:it: ITA 🏡,43.2,1.3,42.97874,:tr: TUR,26.0,1.0,30.8,0-0,6,UEFA Nations League A
Oct. 5@@24384,:ba: BIH 🏡,29.6,1.2,44.33118,:pl: POL,41.8,1.5,28.6,0-0,6,UEFA Nations League B
Oct. 6@@24385,:by: BLR 🏡,34.5,1.2,53.53761,:fi: FIN,34.7,1.2,30.7,0-0,6,UEFA Nations League C
Oct. 6@@24385,:ee: EST 🏡,19.2,0.9,59.0178,:is: ISL,53.5,1.7,27.3,0-1,6,UEFA Nations League C
Oct. 6@@24385,:ch: SUI 🏡,80.7,2.8,47.01849,:mk: MKD,4.6,0.5,14.7,2-0,6,UEFA Nations League B
Oct. 6@@24385,:kz: KAZ 🏡,56.3,1.6,46.69895,:fo: FRO,16.0,0.7,27.7,1-0,6,UEFA Nations League C
Oct. 6@@24385,:hr: CRO 🏡,15.6,0.8,45.21638,:es: ESP,58.7,1.8,25.7,0-1,6,UEFA Nations League A
Oct. 6@@24385,:lu: LUX 🏡,35.9,1.2,49.64531,:bg: BUL,33.4,1.2,30.6,0-0,6,UEFA Nations League C
Oct. 6@@24385,:md: MDA 🏡,6.1,0.5,47.16079,:sk: SVK,75.8,2.4,18.1,0-1,6,UEFA Nations League C
Oct. 6@@24385,:gb-sct: SCO 🏡,55.6,1.6,55.88,:si: SVN,16.5,0.8,27.9,1-0,6,UEFA Nations League B
Oct. 6@@24385,:gb-eng: ENG 🏡,80.6,2.7,52.5,:cz: CZE,4.3,0.4,15.1,1-0,6,UEFA Nations League A
Oct. 6@@24385,:al: ALB 🏡,96.7,5.2,41.20574,:sm: SMR,0.2,0.1,3.1,4-0,6,UEFA Nations League C
Nov. 12@@24422,:gb-eng: ENG 🏡,66.3,2.0,52.5,:hr: CRO,10.4,0.6,23.3,1-0,6,UEFA Nations League A
Nov. 12@@24422,:tr: TUR 🏡,43.8,1.6,39.29454,:be: BEL,28.8,1.3,27.4,1-0,6,UEFA Nations League A
Nov. 12@@24422,:me: MNE 🏡,51.9,1.6,42.55761,:lv: LVA,19.8,0.9,28.4,1-0,6,UEFA Nations League C
Nov. 12@@24422,:am: ARM 🏡,53.7,1.8,40.27288,:cy: CYP,20.7,1.1,25.6,1-0,6,UEFA Nations League C
Nov. 12@@24422,:al: ALB 🏡,54.0,1.5,41.20574,:fi: FIN,17.1,0.7,28.9,1-0,6,UEFA Nations League C
Nov. 12@@24422,:it: ITA 🏡,23.0,0.8,42.97874,:fr: FRA,44.4,1.2,32.6,0-0,6,UEFA Nations League A
Nov. 12@@24422,:sm: SMR 🏡,1.5,0.3,43.94609,:by: BLR,88.6,3.3,9.9,0-2,6,UEFA Nations League C
Nov. 12@@24422,:cz: CZE 🏡,7.5,0.6,49.83317,:es: ESP,73.8,2.4,18.7,0-1,6,UEFA Nations League A
Nov. 13@@24423,:lu: LUX 🏡,49.4,1.5,49.64531,:ee: EST,20.8,0.8,29.8,0-0,6,UEFA Nations League C
Nov. 13@@24423,:si: SVN 🏡,20.7,0.9,46.15565,:ch: SUI,50.7,1.6,28.6,0-1,6,UEFA Nations League B
Nov. 13@@24423,:bg: BUL 🏡,36.8,1.3,42.7289,:is: ISL,34.2,1.3,29.0,0-0,6,UEFA Nations League C
Nov. 13@@24423,:gb-sct: SCO 🏡,71.9,2.3,55.88,:mk: MKD,8.2,0.6,19.9,1-0,6,UEFA Nations League B
Nov. 13@@24423,:rs: SRB 🏡,14.5,1.0,44.44791,:de: GER,63.8,2.2,21.8,0-1,6,UEFA Nations League A
Nov. 13@@24423,:li: LIE 🏡,7.0,0.5,47.15836,:az: AZE,71.4,2.0,21.6,0-1,6,UEFA Nations League D
Nov. 13@@24423,:sk: SVK 🏡,75.8,2.3,48.66519,:fo: FRO,5.6,0.5,18.6,1-0,6,UEFA Nations League C
Nov. 13@@24423,:ad: AND 🏡,55.1,1.3,42.52226,:gi: GIB,12.3,0.5,32.6,0-0,6,UEFA Nations League D
Nov. 13@@24423,:nl: NED 🏡,69.9,2.2,52.09536,:gr: GRE,9.1,0.6,20.9,1-0,6,UEFA Nations League A
Nov. 13@@24423,:md: MDA 🏡,21.7,0.9,47.16079,:kz: KAZ,49.7,1.5,28.6,0-1,6,UEFA Nations League C
Nov. 14@@24424,:no: NOR 🏡,69.4,2.2,60.99203,:gb-wls: WAL,9.6,0.7,21.0,1-0,6,UEFA Nations League A
Nov. 14@@24424,:at: AUT 🏡,56.0,1.6,47.7831,:ie: IRL,16.5,0.8,27.6,1-0,6,UEFA Nations League B
Nov. 14@@24424,:gb-nir: NIR 🏡,28.8,0.9,54.58,:ua: UKR,36.2,1.0,35.0,0-0,6,UEFA Nations League B
Nov. 14@@24424,:pt: POR 🏡,62.5,2.0,39.65553,:dk: DEN,13.5,0.8,24.0,1-0,6,UEFA Nations League A
Nov. 14@@24424,:xk: KOS 🏡,53.3,1.8,42.57,:il: ISR,21.0,1.1,25.8,1-0,6,UEFA Nations League B
Nov. 14@@24424,:se: SWE 🏡,61.9,2.0,58.80855,:ba: BIH,14.5,0.9,23.6,1-0,6,UEFA Nations League B
Nov. 14@@24424,:ro: ROU 🏡,31.1,1.1,45.05045,:pl: POL,38.6,1.3,30.3,0-0,6,UEFA Nations League B
Nov. 14@@24424,:ge: GEO 🏡,36.6,1.4,41.93037,:hu: HUN,35.0,1.3,28.5,0-0,6,UEFA Nations League B
Nov. 15@@24425,:fr: FRA 🏡,65.0,2.1,47.04737,:tr: TUR,12.3,0.8,22.7,1-0,6,UEFA Nations League A
Nov. 15@@24425,:lv: LVA 🏡,34.0,1.2,56.83152,:am: ARM,35.8,1.2,30.2,0-0,6,UEFA Nations League C
Nov. 15@@24425,:cy: CYP 🏡,35.4,1.3,35.00393,:me: MNE,36.0,1.4,28.6,0-0,6,UEFA Nations League C
Nov. 15@@24425,:hr: CRO 🏡,62.4,1.9,45.21638,:cz: CZE,13.3,0.8,24.3,1-0,6,UEFA Nations League A
Nov. 15@@24425,:by: BLR 🏡,25.4,0.9,53.53761,:al: ALB,42.0,1.2,32.5,0-0,6,UEFA Nations League C
Nov. 15@@24425,:be: BEL 🏡,42.0,1.3,50.84524,:it: ITA,26.8,1.0,31.2,0-0,6,UEFA Nations League A
Nov. 15@@24425,:es: ESP 🏡,54.3,1.6,39.58596,:gb-eng: ENG,18.0,0.8,27.7,1-0,6,UEFA Nations League A
Nov. 15@@24425,:fi: FIN 🏡,95.3,4.7,61.69732,:sm: SMR,0.4,0.2,4.3,3-0,6,UEFA Nations League C
Nov. 16@@24426,:ee: EST 🏡,28.8,1.0,59.0178,:bg: BUL,39.0,1.2,32.2,0-0,6,UEFA Nations League C
Nov. 16@@24426,:lt: LTU 🏡,82.5,2.7,55.17509,:li: LIE,3.2,0.4,14.3,2-0,6,UEFA Nations League D
Nov. 16@@24426,:kz: KAZ 🏡,20.2,0.9,46.69895,:sk: SVK,52.0,1.6,27.9,0-1,6,UEFA Nations League C
Nov. 16@@24426,:fo: FRO 🏡,54.0,1.5,62.04065,:md: MDA,16.7,0.7,29.3,1-0,6,UEFA Nations League C
Nov. 16@@24426,:ch: SUI 🏡,57.1,1.7,47.01849,:gb-sct: SCO,16.4,0.8,26.5,1-0,6,UEFA Nations League B
Nov. 16@@24426,:de: GER 🏡,46.0,1.8,50.81935,:nl: NED,28.1,1.3,25.9,1-0,6,UEFA Nations League A
Nov. 16@@24426,:mk: MKD 🏡,27.8,1.1,41.73948,:si: SVN,42.3,1.4,30.0,0-0,6,UEFA Nations League B
Nov. 16@@24426,:gi: GIB 🏡,11.6,0.6,36.1412,:mt: MLT,62.7,1.8,25.7,0-1,6,UEFA Nations League D
Nov. 16@@24426,:is: ISL 🏡,61.2,2.0,64.33116,:lu: LUX,15.0,0.9,23.8,1-0,6,UEFA Nations League C
Nov. 16@@24426,:gr: GRE 🏡,41.9,1.3,38.6902,:rs: SRB,27.7,1.0,30.4,0-0,6,UEFA Nations League A
Nov. 17@@24427,:ie: IRL 🏡,45.9,1.3,53.13107,:xk: KOS,22.5,0.8,31.6,0-0,6,UEFA Nations League B
Nov. 17@@24427,:ua: UKR 🏡,56.7,1.7,48.80696,:ge: GEO,16.3,0.8,27.0,1-0,6,UEFA Nations League B
Nov. 17@@24427,:hu: HUN 🏡,56.0,1.6,47.31799,:gb-nir: NIR,16.5,0.8,27.5,1-0,6,UEFA Nations League B
Nov. 17@@24427,:dk: DEN 🏡,31.1,1.3,55.85131,:no: NOR,40.6,1.5,28.4,0-0,6,UEFA Nations League A
Nov. 17@@24427,:il: ISR 🏡,21.8,1.1,32.13433,:at: AUT,53.2,1.9,25.0,0-1,6,UEFA Nations League B
Nov. 17@@24427,:ba: BIH 🏡,39.2,1.3,44.33118,:ro: ROU,30.4,1.1,30.4,0-0,6,UEFA Nations League B
Nov. 17@@24427,:pl: POL 🏡,42.4,1.5,51.72587,:se: SWE,29.3,1.2,28.3,0-0,6,UEFA Nations League B
Nov. 17@@24427,:gb-wls: WAL 🏡,12.9,0.7,51.75,:pt: POR,62.0,1.8,25.1,0-1,6,UEFA Nations League A
