Date,Team,Win,GF,game_lat,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
June 22 🏆@@24279,:no: NOR,46.6,1.5,46.89425,:sn: SEN,24.5,1.0,28.9,1-0,9,FIFA 2026 World Cup: Group Stage
June 22 🏆@@24279,:ar: ARG,71.6,2.3,37.3172,:at: AUT,8.7,0.7,19.7,1-0,9,FIFA 2026 World Cup: Group Stage
June 22 🏆@@24279,:fr: FRA,87.0,3.1,37.3172,:iq: IRQ,1.9,0.3,11.1,2-0,9,FIFA 2026 World Cup: Group Stage
June 22 🏆@@24279,:dz: ALG,58.4,1.9,37.3172,:jo: JOR,16.4,0.9,25.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 23 🏆@@24280,:pt: POR,78.7,2.6,37.3172,:uz: UZB,5.1,0.5,16.2,1-0,9,FIFA 2026 World Cup: Group Stage
June 23 🏆@@24280,:gb-eng: ENG,85.2,2.9,37.3172,:gh: GHA,2.4,0.3,12.3,2-0,9,FIFA 2026 World Cup: Group Stage
June 23 🏆@@24280,:co: COL,67.6,2.0,21.34143,:cd: COD,9.4,0.6,23.0,1-0,9,FIFA 2026 World Cup: Group Stage
June 23 🏆@@24280,:hr: CRO,61.6,1.9,37.3172,:pa: PAN,14.0,0.8,24.5,1-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:mx: MEX 🏡,65.2,1.9,21.34143,:cz: CZE,10.7,0.6,24.1,1-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:ca: CAN 🏡,32.6,1.2,46.89425,:ch: SUI,36.7,1.2,30.6,0-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:kr: KOR,41.5,1.3,21.34143,:za: RSA,26.8,1.0,31.7,0-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:br: BRA,64.0,2.0,37.3172,:gb-sct: SCO,12.5,0.7,23.5,1-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:ma: MAR,67.1,2.0,37.3172,:ht: HAI,10.0,0.6,22.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 24 🏆@@24281,:ba: BIH,68.6,2.3,37.3172,:qa: QAT,10.9,0.8,20.5,1-0,9,FIFA 2026 World Cup: Group Stage
June 25 🏆@@24282,:nl: NED,76.0,2.4,37.3172,:tn: TUN,6.2,0.5,17.8,1-0,9,FIFA 2026 World Cup: Group Stage
June 25 🏆@@24282,:de: GER,55.0,1.9,37.3172,:ec: ECU,19.9,1.1,25.0,1-0,9,FIFA 2026 World Cup: Group Stage
